Grand Prix,Laps,Corners,Circuit length (km),Race distance (km),Direction
Australian Grand Prix,58,14,5.303,307.574,Clockwise
Malaysian Grand Prix,56,15,5.543,310.408,Clockwise
Bahrain Grand Prix,57,15,5.412,308.238,Clockwise
Chinese Grand Prix,56,16,5.451,305.066,Clockwise
Spanish Grand Prix,66,14,4.655,307.104,Clockwise
Monaco Grand Prix,78,19,3.337,260.286,Clockwise
Canadian Grand Prix,70,14,4.361,305.27,Clockwise
Austrian Grand Prix,71,10,4.318,306.452,Clockwise
British Grand Prix,52,18,5.891,306.198,Clockwise
German Grand Prix,67,17,4.574,306.458,Clockwise
Hungarian Grand Prix,70,14,4.381,306.63,Clockwise
Belgian Grand Prix,44,19,7.004,308.052,Clockwise
Italian Grand Prix,53,11,5.793,306.72,Clockwise
Singapore Grand Prix,62,19,4.94,306.143,Anti-clockwise
Japanese Grand Prix,53,18,5.807,307.471,Clockwise
Russian Grand Prix,53,18,5.848,309.944,Clockwise
United States Grand Prix,56,20,5.513,308.405,Anti-clockwise
Ṣo Paulo Grand Prix,71,15,4.309,305.879,Anti-clockwise
Abu Dhabi Grand Prix,55,16,5.554,305.355,Anti-clockwise
Mexican Grand Prix,71,17,4.304,305.354,Clockwise
Mexico City Grand Prix,71,17,4.304,305.354,Clockwise
European Grand Prix,57,25,5.419,308.883,Anti-clockwise
Azerbaijan Grand Prix,51,20,6.003,306.049,Anti-clockwise
French Grand Prix,53,15,5.842,309.69,Clockwise
Styrian Grand Prix,71,10,4.318,306.452,Clockwise
70th Anniversary GP,52,18,5.891,306.198,Clockwise
Tuscan Grand Prix,59,15,5.245,309.497,Clockwise
Eifel Grand Prix,60,15,5.148,308.617,Clockwise
Portuguese Grand Prix,66,15,4.653,306.826,Clockwise
Emilia Romagna Grand Prix,63,19,4.909,309.049,Anti-clockwise
Turkish Grand Prix,58,14,5.338,309.396,Anti-clockwise
Sakhir Grand Prix,87,11,3.543,308.238,Clockwise
Dutch Grand Prix,72,14,4.259,306.648,Clockwise
Qatar Grand Prix,57,16,5.419,308.611,Clockwise
Saudi Arabian Grand Prix,50,27,6.174,308.45,Anti-clockwise
Miami Grand Prix,57,19,5.41,308.326,Clockwise
Las Vegas Grand Prix,50,17,6.201,310.05,Anti-clockwise